d_pos,d_neg,s_pos,s_neg,hudongdu,comment_count
0.448934168,0.551065803,0.779443145,0.220556855,0.15,17
0.45643872,0.54356128,0.649768233,0.350231737,0.275,23
0.495503962,0.504495978,0.700833261,0.299166739,0.125,43
0.856946111,0.143053874,0.398306072,0.601693928,0.120879121,20
0.46505934,0.53494066,0.549648464,0.450351566,0.170731707,35
0.69121033,0.30878967,0.627418697,0.372581273,0.157303371,23
0.305566698,0.694433331,0.253100276,0.746899664,0.207207207,17
0.611848772,0.388151258,0.453398079,0.546601951,0.116666667,16
0.659501433,0.340498477,0.312643051,0.687356949,0.113043478,13
0.460606605,0.539393425,0.364625663,0.635374367,0.24137931,48
0.520876706,0.479123354,0.152254343,0.847745657,0.163461538,25
0.585060418,0.414939612,0.519103408,0.480896562,0.306930693,95
0.676309288,0.323690683,0.378017515,0.621982455,0.362068966,77
0.525180995,0.474819005,0.586170971,0.413829029,0.265306122,125
0.614417672,0.385582268,0.244714245,0.75528574,0.15942029,34
0.441041797,0.558958232,0.256427497,0.743572593,0.109589041,14
0.436217099,0.563782871,0.419395953,0.580604076,0.083333333,6
0.651073873,0.348926097,0.572783291,0.427216738,0.115384615,13
0.536306262,0.463693649,0.246574029,0.753425956,0.185185185,31
0.361920655,0.638079345,0.562080622,0.437919348,0.087912088,13
0.445153207,0.554846823,0.347623289,0.652376711,0.138461538,22
0.343200088,0.656799912,0.357233316,0.642766714,0.083333333,50
0.776071727,0.223928303,0.402135134,0.597864926,0.153153153,46
0.388869673,0.611130416,0.513054729,0.486945271,0.313953488,56
0.457416952,0.542583048,0.642714202,0.357285798,0.163636364,40
0.431355774,0.568644226,0.622089326,0.377910733,0.084210526,9
0.540123522,0.459876418,0.587651312,0.412348688,0.175257732,22
0.440108716,0.559891284,0.339966327,0.660033643,0.027272727,1
0.606985927,0.393014073,0.623250902,0.376749158,0.164948454,28
0.743933916,0.256066024,0.378217489,0.621782601,0.244444444,58
0.546679258,0.453320831,0.289553344,0.710446715,0.071428571,5
0.672166586,0.327833474,0.321359724,0.678640306,0.080808081,8
0.598748446,0.401251614,0.554031372,0.445968688,0.150684932,63
0.301900059,0.698099971,0.502260804,0.497739226,0.133333333,18
0.384475172,0.615524769,0.714739621,0.28526035,0.133333333,23
0.615571856,0.384428173,0.364729166,0.635270834,0.343137255,42
0.287904888,0.712095141,0.591469884,0.408530086,0.06741573,19
0.419454098,0.580545843,0.785779059,0.214220926,0.275862069,23
0.332573682,0.667426288,0.367961496,0.632038593,0.25,23
0.838144243,0.161855698,0.642415404,0.357584566,0.203703704,23
0.478954941,0.521045029,0.640553355,0.359446645,0.275862069,27
0.575900793,0.424099207,0.422369421,0.577630579,0.214285714,24
0.458168596,0.541831374,0.635147035,0.364852995,0.2,19
0.296805292,0.703194737,0.766795754,0.233204305,0.166666667,14
0.342529356,0.657470703,0.437461942,0.562538028,0.114754098,19
0.553661585,0.446338415,0.43662253,0.5633775,0.136986301,21
0.350214124,0.649785876,0.439856648,0.560143352,0.16,16
0.503430188,0.496569812,0.596577346,0.403422624,0.088235294,10
0.701915741,0.298084259,0.487477183,0.512522817,0.191489362,12
0.455387115,0.544612825,0.535471261,0.46452871,0.121212121,13
0.473754287,0.526245713,0.499726325,0.500273764,0.183673469,20
0.226939708,0.773060322,0.790610909,0.209389091,0.211267606,28
0.521294713,0.478705257,0.512361825,0.487638146,0.147058824,18
0.440709889,0.559290111,0.440763146,0.559236825,0.159090909,20
0.651849866,0.348150134,0.254917532,0.745082498,0.154761905,25
0.882170677,0.11782933,0.751595199,0.248404771,0.2125,47
0.731192887,0.268807113,0.49639371,0.503606319,0.282608696,41
0.452881813,0.547118247,0.741821527,0.258178502,0.186046512,22
0.483953267,0.516046643,0.429771781,0.570228219,0.210526316,21
0.404896438,0.595103562,0.705785096,0.294214875,0.117647059,13
0.42527613,0.57472384,0.564590275,0.435409695,0.212765957,37
0.577618599,0.422381431,0.329323441,0.670676589,0.213333333,76
0.702400863,0.297599137,0.695507169,0.304492801,0.384615385,99
0.667364597,0.332635432,0.607990026,0.392009974,0.168224299,24
0.437557936,0.562442064,0.389865845,0.610134125,0.281690141,68
0.526256442,0.473743528,0.488038808,0.511961281,0.4375,85
0.30120036,0.69879961,0.498875827,0.501124203,0.43373494,52
0.654102802,0.345897257,0.335099071,0.664900899,0.3,87
0.550210774,0.449789196,0.484859824,0.515140176,0.333333333,40
0.565230787,0.434769213,0.534710467,0.465289533,0.111111111,13
0.558538198,0.441461802,0.32111904,0.67888093,0.235294118,59
0.343955904,0.656044066,0.522311687,0.477688253,0.384615385,27
0.39977476,0.60022521,0.512669384,0.487330586,0.222222222,61
0.621368229,0.378631771,0.404171169,0.595828772,0.375,17
0.51072824,0.48927176,0.54680562,0.45319441,0.045454545,55
0.627141118,0.372858882,0.339003474,0.660996556,0.285714286,37
0.755961299,0.244038671,0.326699078,0.673300862,0.333333333,30
0.453868032,0.546131968,0.708710909,0.291289091,0.08,104
0.488250941,0.511749148,0.496303797,0.503696203,0.52238806,159
0.587273538,0.412726521,0.556739211,0.443260789,0.224489796,121
0.339056641,0.660943329,0.613723278,0.386276662,0.410526316,226
0.150913373,0.849086583,0.553963244,0.446036696,0.3,166
0.281700253,0.718299747,0.353434145,0.646565855,0.454545455,109
0.418343544,0.581656516,0.489519864,0.510480106,0.294117647,35
0.487849832,0.512150109,0.406579673,0.593420386,0.142857143,56
